topo_num,flow_num,target,label,prediction,rel_err
94,8,min,15.386999,15.00605,0.024757862
94,9,min,19.937002,18.878199,0.05310744
94,10,min,27.874998,27.823563,0.0018452406
94,11,min,54.675003,47.759346,0.12648666
94,12,min,23.613,16.926525,0.28316927
94,13,min,32.288002,28.796268,0.10814339
94,14,min,15.487999,13.714423,0.11451292
94,15,min,71.487,59.60684,0.16618633
94,16,min,67.38698,59.691776,0.114194214
94,17,min,74.04999,59.635227,0.19466257
94,18,min,15.637001,15.026865,0.03901875
94,19,min,32.099995,30.026108,0.064607084
94,20,min,18.837,14.50866,0.22977859
94,21,min,63.687996,59.55193,0.06494266
94,22,min,42.037,36.999218,0.119841576
94,23,min,56.537,59.57607,0.053753614
94,24,min,32.874996,28.798534,0.12399888
94,25,min,56.375,47.406097,0.15909362
94,26,min,36.374996,34.36518,0.05525267
94,27,min,31.738003,29.880451,0.05852765
94,28,min,15.500002,13.72213,0.11470139
94,29,min,30.437006,28.392763,0.06716305
94,30,min,15.100002,15.015293,0.00560987
94,31,min,15.261999,15.034458,0.014908969
94,32,min,19.200003,18.821762,0.01970005
94,33,min,28.249998,18.932762,0.32981366
94,34,min,69.01301,59.551094,0.13710332
94,35,min,19.225,18.735895,0.02544111
94,36,min,34.261997,34.298008,0.0010510683
94,37,min,14.311998,15.009508,0.048735976
94,38,min,19.724998,18.205046,0.07705718
94,39,min,33.649998,34.36717,0.021312594
94,40,min,53.612007,47.464184,0.11467248
94,41,min,16.800001,14.050447,0.16366392
94,0,p25,44.25,44.682735,0.009779334
94,1,p25,43.599995,44.26408,0.015231371
94,2,p25,129.625,84.81544,0.34568614
94,3,p25,46.274994,44.441303,0.039625943
94,4,p25,165.837,111.67991,0.32656825
94,5,p25,129.20003,85.11164,0.3412413
94,6,p25,78.71202,85.70091,0.088790655
94,7,p25,34.525,48.6034,0.4077741
94,8,p25,46.524994,47.64354,0.024041772
94,9,p25,34.537003,48.914627,0.41629624
94,10,p25,75.786995,81.01798,0.06902218
94,11,p25,178.08798,112.71226,0.3670979
94,12,p25,49.262005,40.37673,0.18036765
94,13,p25,130.125,85.62752,0.34195954
94,14,p25,57.137,47.785378,0.16367018
94,15,p25,206.58804,139.9035,0.3227899
94,16,p25,189.07503,141.41835,0.25205165
94,17,p25,192.2125,141.21008,0.2653439
94,18,p25,46.811996,47.74559,0.019943476
94,19,p25,64.312004,80.59898,0.2532494
94,20,p25,59.54999,48.880028,0.17917657
94,21,p25,191.98396,140.78412,0.2666881
94,22,p25,101.537,107.67058,0.06040728
94,23,p25,191.71295,140.23682,0.2685063
94,24,p25,129.86296,85.59848,0.3408553
94,25,p25,164.88097,113.1786,0.3135739
94,26,p25,134.78798,83.62143,0.37960768
94,27,p25,128.747,85.138084,0.33871788
94,28,p25,65.75001,47.451694,0.2783013
94,29,p25,65.475006,76.06435,0.161731
94,30,p25,46.438,47.632183,0.025715709
94,31,p25,40.5,47.871162,0.18200397
94,32,p25,34.15,48.642914,0.42438984
94,33,p25,116.3,49.177917,0.57714605
94,34,p25,189.69997,139.61737,0.26400954
94,35,p25,33.863003,48.47215,0.43141913
94,36,p25,134.70001,83.25568,0.38191783
94,37,p25,46.686996,47.641514,0.02044499
94,38,p25,46.313,45.16545,0.024778128
94,39,p25,134.42502,83.54782,0.37848014
94,40,p25,158.08102,112.77435,0.2866041
94,41,p25,60.23801,47.040424,0.21909064
94,0,p50,54.137,58.2711,0.07636368
94,1,p50,53.3,57.586494,0.080422044
94,2,p50,167.67497,108.064705,0.35551083
94,3,p50,58.72501,57.75676,0.016487896
94,4,p50,200.23701,137.03363,0.31564283
94,5,p50,167.287,108.39225,0.35205817
94,6,p50,97.51299,108.97058,0.11749804
94,7,p50,43.013004,63.21187,0.469599
94,8,p50,56.963005,61.74316,0.08391678
94,9,p50,43.163002,63.510696,0.47141516
94,10,p50,92.600006,103.327286,0.11584532
94,11,p50,216.12498,138.04927,0.3612526
94,12,p50,61.563007,52.975967,0.13948375
94,13,p50,163.84996,108.667076,0.33678913
94,14,p50,70.587006,61.48716,0.12891674
94,15,p50,245.55006,169.04214,0.31157768
94,16,p50,225.85599,170.89511,0.24334478
94,17,p50,231.29999,170.66756,0.26213765
94,18,p50,57.188007,61.874725,0.08195281
94,19,p50,76.81301,102.785164,0.33812177
94,20,p50,75.99999,63.136406,0.16925776
94,21,p50,228.08104,170.29256,0.2533682
94,22,p50,117.80001,135.38965,0.14931774
94,23,p50,228.14998,169.50089,0.25706375
94,24,p50,163.47496,108.66724,0.33526677
94,25,p50,205.48798,138.83699,0.32435465
94,26,p50,167.25002,104.664986,0.37420046
94,27,p50,166.46202,108.388336,0.34887046
94,28,p50,84.100006,61.098877,0.27349734
94,29,p50,79.96301,97.70291,0.22185135
94,30,p50,56.886986,61.749622,0.0854789
94,31,p50,50.61299,62.002666,0.2250346
94,32,p50,42.562996,63.148727,0.4836533
94,33,p50,143.77498,63.816193,0.5561384
94,34,p50,227.10004,168.75673,0.25690573
94,35,p50,42.35,63.03916,0.48852813
94,36,p50,168.32495,104.20301,0.3809414
94,37,p50,57.088013,61.736847,0.0814327
94,38,p50,59.931007,59.00518,0.015448213
94,39,p50,168.02502,104.56286,0.37769473
94,40,p50,198.63805,138.20901,0.3042168
94,41,p50,75.237015,60.806362,0.19180256
94,0,p75,66.96301,76.38246,0.14066648
94,1,p75,66.450005,75.867516,0.14172328
94,2,p75,209.92798,131.01279,0.37591553
94,3,p75,71.411995,73.49904,0.02922535
94,4,p75,247.25,168.60423,0.31808197
94,5,p75,209.52504,131.40543,0.37284142
94,6,p75,118.17499,130.60739,0.10520339
94,7,p75,52.500004,82.97335,0.5804447
94,8,p75,67.274994,78.770996,0.1708808
94,9,p75,52.649998,83.40491,0.5841389
94,10,p75,112.93799,124.243675,0.100105286
94,11,p75,265.76193,169.3231,0.36287677
94,12,p75,76.50299,69.369194,0.093248606
94,13,p75,201.46198,131.23639,0.34857988
94,14,p75,90.688,77.74158,0.1427579
94,15,p75,297.55,203.26155,0.31688267
94,16,p75,274.13693,205.51279,0.250328
94,17,p75,281.85657,205.37308,0.27135605
94,18,p75,67.50001,78.90244,0.16892493
94,19,p75,91.65002,125.11918,0.36518443
94,20,p75,94.449974,80.94012,0.1430372
94,21,p75,275.01224,204.67088,0.25577533
94,22,p75,133.987,155.44386,0.16014135
94,23,p75,273.975,204.14355,0.25488257
94,24,p75,200.82504,131.17075,0.34684068
94,25,p75,250.27498,170.4264,0.31904334
94,26,p75,211.94998,132.09544,0.37676126
94,27,p75,208.40002,131.46603,0.369165
94,28,p75,106.53797,77.2571,0.27483976
94,29,p75,98.03802,117.54758,0.19899988
94,30,p75,67.188,78.7406,0.17194438
94,31,p75,61.225,79.08989,0.29179084
94,32,p75,52.125,83.072075,0.5937089
94,33,p75,175.03703,83.79423,0.5212772
94,34,p75,275.21198,203.29504,0.2613147
94,35,p75,51.949997,82.79684,0.59377944
94,36,p75,215.25003,131.59465,0.38864285
94,37,p75,67.35001,78.77179,0.16958833
94,38,p75,75.47498,77.195854,0.022800565
94,39,p75,212.66296,131.96199,0.37947828
94,40,p75,243.98753,169.87724,0.30374622
94,41,p75,95.774994,77.05482,0.19545996
94,0,p95,84.36235,109.89321,0.3026334
94,1,p95,84.742805,109.28745,0.28963697
94,2,p95,276.37503,175.62265,0.36454952
94,3,p95,91.075,103.21815,0.1333313
94,4,p95,349.85132,220.30435,0.37029147
94,5,p95,276.163,176.10217,0.36232525
94,6,p95,150.13698,173.35022,0.15461373
94,7,p95,63.73796,119.41121,0.8734708
94,8,p95,82.65001,110.70898,0.33949137
94,9,p95,63.90001,119.96378,0.87736726
94,10,p95,155.38702,165.56625,0.06550884
94,11,p95,366.14536,220.35703,0.39817065
94,12,p95,103.41103,99.62225,0.03663808
94,13,p95,260.72495,174.96367,0.3289339
94,14,p95,134.08797,108.16585,0.19332176
94,15,p95,396.52493,257.54333,0.35049903
94,16,p95,372.75845,260.79196,0.30037278
94,17,p95,383.99097,260.69498,0.32109088
94,18,p95,82.788,110.86596,0.33915496
94,19,p95,117.213005,168.33441,0.43614113
94,20,p95,123.36298,114.34224,0.073123574
94,21,p95,368.72473,259.73254,0.2955923
94,22,p95,157.73799,198.43158,0.25798213
94,23,p95,371.62506,259.21014,0.30249554
94,24,p95,260.23706,174.85907,0.32807773
94,25,p95,319.3875,221.98595,0.3049636
94,26,p95,311.61105,178.78609,0.42625242
94,27,p95,274.70773,176.21173,0.35854834
94,28,p95,143.39998,107.53216,0.25012434
94,29,p95,129.212,157.08876,0.21574426
94,30,p95,82.575005,110.65588,0.34006512
94,31,p95,77.83799,111.12176,0.42760313
94,32,p95,63.450005,119.56225,0.88435364
94,33,p95,234.488,120.48847,0.48616362
94,34,p95,368.22195,258.1513,0.29892474
94,35,p95,63.138,119.19018,0.88777244
94,36,p95,308.19482,178.15366,0.42194468
94,37,p95,82.67501,110.71265,0.33913076
94,38,p95,113.18736,110.86399,0.020526767
94,39,p95,303.69992,178.58199,0.41197884
94,40,p95,315.50003,221.3296,0.2984799
94,41,p95,133.225,107.6383,0.19205636
94,0,p99,98.78799,139.56342,0.41275692
94,1,p99,99.662994,139.05173,0.3952192
94,2,p99,325.388,210.26698,0.35379612
94,3,p99,106.36301,125.94625,0.18411708
94,4,p99,421.5336,267.36334,0.3657366
94,5,p99,325.66016,210.68658,0.35304773
94,6,p99,173.90002,206.45454,0.18720245
94,7,p99,72.063,149.08966,1.0688794
94,8,p99,93.187996,133.94292,0.43734086
94,9,p99,73.37474,149.59628,1.0387981
94,10,p99,180.675,198.53278,0.098839164
94,11,p99,437.68088,266.91483,0.3901611
94,12,p99,126.087746,127.94618,0.014739275
94,13,p99,305.65,207.71019,0.32043123
94,14,p99,161.1,129.12257,0.19849432
94,15,p99,468.36246,308.22403,0.34191132
94,16,p99,440.47498,311.17627,0.29354382
94,17,p99,456.8913,311.15305,0.31897795
94,18,p99,93.350006,134.08875,0.43640852
94,19,p99,136.88799,204.41174,0.49327743
94,20,p99,145.31303,137.03055,0.056997538
94,21,p99,437.6336,310.29242,0.2909767
94,22,p99,175.67505,234.89111,0.33707726
94,23,p99,440.1275,310.0083,0.2956398
94,24,p99,305.11197,207.62233,0.3195209
94,25,p99,374.63123,267.97113,0.2847069
94,26,p99,386.67944,218.9416,0.43379045
94,27,p99,324.17413,210.75595,0.34986806
94,28,p99,170.13704,128.6088,0.24408704
94,29,p99,153.87498,191.94347,0.24739873
94,30,p99,93.15001,133.91005,0.43757415
94,31,p99,90.06198,134.30103,0.49120665
94,32,p99,72.1935,149.26999,1.0676377
94,33,p99,299.4501,150.05586,0.4988953
94,34,p99,441.58804,309.15182,0.299909
94,35,p99,71.78789,148.89262,1.0740633
94,36,p99,379.17654,218.38593,0.42405212
94,37,p99,93.13699,133.9529,0.43823516
94,38,p99,147.32501,140.12782,0.048852444
94,39,p99,379.82047,218.76904,0.42401987
94,40,p99,368.15646,267.4509,0.27354014
94,41,p99,156.00002,129.4103,0.17044693
94,0,p99.9,115.71984,169.39482,0.4638356
94,1,p99.9,120.630615,168.77303,0.39908946
94,2,p99.9,386.40228,247.78479,0.35873878
94,3,p99.9,127.40677,152.69077,0.19845092
94,4,p99.9,503.05524,307.86536,0.38800883
94,5,p99.9,385.22455,248.26096,0.35554224
94,6,p99.9,202.3019,242.25589,0.19749689
94,7,p99.9,89.72237,181.6604,1.0246947
94,8,p99.9,107.49568,162.65541,0.51313436
94,9,p99.9,91.852165,182.16759,0.98326933
94,10,p99.9,206.27498,233.2366,0.13070714
94,11,p99.9,523.6964,306.74512,0.4142692
94,12,p99.9,157.38844,155.06409,0.014768302
94,13,p99.9,359.975,244.46288,0.3208893
94,14,p99.9,197.45003,156.3741,0.20803201
94,15,p99.9,554.86615,349.2058,0.37064856
94,16,p99.9,519.47736,352.91803,0.32062864
94,17,p99.9,532.4287,352.98184,0.33703452
94,18,p99.9,107.94552,162.81688,0.5083246
94,19,p99.9,161.48741,240.38977,0.48859763
94,20,p99.9,173.42499,167.04669,0.03677839
94,21,p99.9,520.1576,351.92944,0.32341766
94,22,p99.9,200.17503,269.1439,0.34454274
94,23,p99.9,521.72406,351.62482,0.326033
94,24,p99.9,359.20694,244.34538,0.31976432
94,25,p99.9,448.47888,308.562,0.31198096
94,26,p99.9,456.29404,257.49106,0.43569052
94,27,p99.9,385.07507,248.3752,0.35499537
94,28,p99.9,199.99995,155.72408,0.22137946
94,29,p99.9,185.17497,225.12807,0.21575856
94,30,p99.9,107.68763,162.60368,0.50995696
94,31,p99.9,104.28702,163.08165,0.5637771
94,32,p99.9,89.58895,181.83006,1.0296037
94,33,p99.9,376.89487,182.70615,0.51523316
94,34,p99.9,514.65875,350.56894,0.31883228
94,35,p99.9,90.38945,181.43732,1.0072842
94,36,p99.9,451.51242,256.83612,0.43116486
94,37,p99.9,107.725006,162.66704,0.5100212
94,38,p99.9,173.33151,170.25116,0.017771482
94,39,p99.9,460.78546,257.25043,0.4417132
94,40,p99.9,434.79245,307.85413,0.29195154
94,41,p99.9,180.27498,156.84148,0.12998754
94,0,p99.99,163.39703,203.20857,0.24364913
94,1,p99.99,158.48007,202.72916,0.27920914
94,2,p99.99,441.7607,285.62192,0.35344654
94,3,p99.99,167.5727,183.94287,0.097689986
94,4,p99.99,30085.143,349.07108,0.98839724
94,5,p99.99,443.13705,286.0792,0.35442275
94,6,p99.99,232.60004,278.3858,0.19684339
94,7,p99.99,107.94769,217.39937,1.0139325
94,8,p99.99,140.47455,195.05695,0.3885572
94,9,p99.99,111.91884,217.77939,0.94586897
94,10,p99.99,231.42947,269.23468,0.16335523
94,11,p99.99,24006.799,346.94806,0.9855479
94,12,p99.99,210.41544,186.76091,0.112418234
94,13,p99.99,411.41312,281.74478,0.31517792
94,14,p99.99,234.7402,187.68544,0.20045465
94,15,p99.99,616.1339,388.9478,0.36872846
94,16,p99.99,587.0907,392.78024,0.33097178
94,17,p99.99,576.4917,393.01855,0.3182581
94,18,p99.99,142.3221,195.19826,0.37152457
94,19,p99.99,195.31018,277.7791,0.42224598
94,20,p99.99,25501.895,200.81589,0.99212545
94,21,p99.99,596.79,391.94553,0.34324378
94,22,p99.99,249.83301,304.13364,0.21734774
94,23,p99.99,608.53876,391.84174,0.35609406
94,24,p99.99,408.6494,281.59637,0.31090963
94,25,p99.99,519.44836,349.3281,0.32750177
94,26,p99.99,497.35483,297.71103,0.40141118
94,27,p99.99,441.217,286.22363,0.35128605
94,28,p99.99,227.72095,186.9406,0.17908037
94,29,p99.99,224.7271,260.41263,0.158795
94,30,p99.99,141.16716,194.9815,0.3812101
94,31,p99.99,135.06136,195.47754,0.44732404
94,32,p99.99,107.96956,217.59474,1.0153341
94,33,p99.99,441.74258,218.27255,0.5058829
94,34,p99.99,571.0481,390.81897,0.31561112
94,35,p99.99,115.47327,217.21304,0.88106775
94,36,p99.99,527.33655,297.11783,0.43656886
94,37,p99.99,141.04514,195.07248,0.38305008
94,38,p99.99,196.33148,203.73712,0.037720084
94,39,p99.99,517.1272,297.45963,0.42478442
94,40,p99.99,481.10782,348.53598,0.27555537
94,41,p99.99,207.55052,188.12492,0.09359455
94,0,p99.999,200.35211,250.50923,0.25034487
94,1,p99.999,191.35455,249.9663,0.3062992
94,2,p99.999,497.6693,361.80573,0.2729997
94,3,p99.999,231.81586,220.26448,0.04982996
94,4,p99.999,38569.746,461.47824,0.9880352
94,5,p99.999,490.57108,362.5119,0.26104105
94,6,p99.999,549.67584,351.6384,0.3602804
94,7,p99.999,129.78506,269.31033,1.0750487
94,8,p99.999,197.10626,235.47018,0.19463575
94,9,p99.999,123.214226,270.0967,1.1920903
94,10,p99.999,275.98947,338.15994,0.22526395
94,11,p99.999,33095.117,458.98532,0.9861313
94,12,p99.999,288.794,227.97563,0.2105943
94,13,p99.999,464.53287,355.8235,0.23401868
94,14,p99.999,313.61404,224.72688,0.2834285
94,15,p99.999,633.18134,523.0713,0.17389971
94,16,p99.999,626.4561,528.78326,0.1559133
94,17,p99.999,627.893,528.9794,0.15753263
94,18,p99.999,200.71257,235.68237,0.17422831
94,19,p99.999,244.2793,352.21295,0.4418453
94,20,p99.999,38742.465,242.26088,0.9937469
94,21,p99.999,719.7046,527.26447,0.26738763
94,22,p99.999,300.33667,388.38965,0.29318094
94,23,p99.999,659.41315,527.17804,0.20053452
94,24,p99.999,451.23395,355.60083,0.21193689
94,25,p99.999,757.851,461.72223,0.39074802
94,26,p99.999,537.1706,384.6662,0.28390312
94,27,p99.999,505.24475,362.743,0.28204495
94,28,p99.999,276.5588,223.80399,0.19075447
94,29,p99.999,291.97092,326.85284,0.1194706
94,30,p99.999,185.81952,235.36592,0.2666372
94,31,p99.999,188.2587,236.10045,0.25412774
94,32,p99.999,115.30622,269.74158,1.3393497
94,33,p99.999,498.5966,270.86694,0.45674127
94,34,p99.999,593.4098,525.69446,0.11411226
94,35,p99.999,130.07681,269.02768,1.0682216
94,36,p99.999,736.5363,383.77588,0.47894508
94,37,p99.999,198.52222,235.49492,0.1862396
94,38,p99.999,226.64682,251.19276,0.10830045
94,39,p99.999,536.6192,384.3212,0.2838102
94,40,p99.999,504.45554,460.86316,0.086414695
94,41,p99.999,266.08588,225.69112,0.151811
21,0,mean,104.25168,138.12415,0.32491052
21,1,mean,56.063065,68.20618,0.21659732
21,2,mean,174.61983,148.60121,0.14900148
21,3,mean,137.59483,145.91011,0.06043303
21,4,mean,71.43721,107.44142,0.50399804
21,5,mean,127.32004,142.52261,0.119404435
21,6,mean,56.609394,63.5186,0.122050524
21,7,mean,47.750088,64.726425,0.35552478
21,8,mean,81.7833,68.81582,0.15855908
21,9,mean,50.890575,68.71728,0.3502947
21,10,mean,161.27199,152.24182,0.05599338
21,11,mean,178.80528,167.85901,0.061218977
21,12,mean,117.781425,112.72799,0.04290521
21,13,mean,47.891933,64.29896,0.34258425
21,14,mean,116.762695,141.85686,0.21491587
21,15,mean,319.2644,241.08739,0.24486607
21,16,mean,44.911053,58.62106,0.3052702
21,17,mean,98.34479,106.88014,0.086790085
21,18,mean,174.77992,114.63804,0.34410065
21,19,mean,90.61956,105.4124,0.16324115
21,20,mean,134.5061,143.0399,0.06344545
21,21,mean,182.11136,145.10275,0.20321965
21,22,mean,90.68486,110.694916,0.22065485
21,23,mean,182.00372,146.99092,0.19237411
21,24,mean,53.005295,68.19047,0.28648412
21,25,mean,73.01279,103.43365,0.41665113
21,26,mean,153.64857,142.92923,0.06976533
21,27,mean,248.26665,203.03764,0.18217915
21,28,mean,146.6254,144.96835,0.011301219
21,29,mean,91.569275,113.40706,0.23848379
21,30,mean,214.5729,192.02547,0.105080545
21,31,mean,60.0522,63.532074,0.057947516
21,32,mean,159.31311,152.14787,0.044975817
21,33,mean,84.56819,74.64918,0.11729014
21,34,mean,88.2986,76.34553,0.13537103
21,35,mean,64.53666,67.35546,0.04367757
21,36,mean,143.6007,118.06991,0.1777901
21,37,mean,199.97885,199.89445,0.00042200089
21,38,mean,96.42283,77.4631,0.19663113
21,39,mean,134.97081,142.176,0.05338323
21,40,mean,85.42559,66.35134,0.22328496
21,41,mean,121.018364,140.35062,0.15974641
21,42,mean,77.69099,108.18156,0.3924595
21,43,mean,117.65723,148.79323,0.26463318
21,44,mean,55.959946,68.49848,0.22406268
21,45,mean,54.68196,67.74076,0.23881364
21,46,mean,126.16897,144.38605,0.14438641
21,47,mean,181.30617,147.20743,0.18807268
21,48,mean,59.80446,63.471153,0.061311364
21,0,min,48.888,46.7575,0.04357922
21,1,min,15.012999,15.410568,0.026481748
21,2,min,61.65,48.08539,0.22002614
21,3,min,53.062004,47.123516,0.111916006
21,4,min,36.288002,33.632442,0.07318008
21,5,min,51.774998,47.152905,0.08927268
21,6,min,15.712002,15.544228,0.0106781125
21,7,min,23.0,18.1606,0.21040869
21,8,min,20.662996,16.102169,0.2207244
21,9,min,21.137999,18.609533,0.119617045
21,10,min,50.175003,48.41692,0.035039008
21,11,min,64.37501,48.333714,0.24918514
21,12,min,41.586998,34.295315,0.17533565
21,13,min,23.413002,18.130222,0.22563446
21,14,min,50.399998,47.191658,0.06365752
21,15,min,149.84999,85.47275,0.42961127
21,16,min,23.687996,17.045704,0.2804075
21,17,min,29.538,28.653694,0.029937923
21,18,min,39.137,34.128372,0.12797683
21,19,min,32.475002,28.287458,0.12894666
21,20,min,50.900005,47.142784,0.07381576
21,21,min,55.05,40.846878,0.258004
21,22,min,35.025005,34.05123,0.027802229
21,23,min,52.188,39.423553,0.24458587
21,24,min,15.012001,15.430157,0.0278548
21,25,min,35.374996,32.720074,0.07505083
21,26,min,49.55,40.424397,0.18416959
21,27,min,92.68699,69.509224,0.2500649
21,28,min,53.000004,47.385303,0.10593772
21,29,min,32.288002,28.030281,0.13186699
21,30,min,88.05001,57.946686,0.34188896
21,31,min,15.75,15.550941,0.0126386285
21,32,min,63.625015,48.143845,0.24331892
21,33,min,19.1,19.183445,0.004368782
21,34,min,15.324999,16.3415,0.0663296
21,35,min,16.338003,13.907366,0.148772
21,36,min,40.163,35.13903,0.12508947
21,37,min,99.49998,69.09084,0.30561948
21,38,min,16.7,15.07411,0.0973587
21,39,min,42.925,47.124306,0.097828865
21,40,min,18.100002,15.248978,0.15751517
21,41,min,49.08699,46.773098,0.04713863
21,42,min,30.875002,33.823162,0.095487
21,43,min,52.363,48.030704,0.08273578
21,44,min,14.899999,15.421597,0.035006523
21,45,min,19.475,18.58675,0.045609772
21,46,min,45.499992,47.226315,0.0379411
21,47,min,57.725002,39.53191,0.31516832
21,48,min,15.538,15.545528,0.00048446655
21,0,p25,88.887,108.80747,0.22411
21,1,p25,43.149998,48.774433,0.13034618
21,2,p25,140.27501,116.29564,0.1709454
21,3,p25,116.887985,114.73969,0.018379092
21,4,p25,59.362988,81.02369,0.3648857
21,5,p25,97.33798,111.540306,0.14590728
21,6,p25,38.762,45.562088,0.17543173
21,7,p25,37.925007,45.93593,0.21123064
21,8,p25,61.41301,49.058907,0.20116425
21,9,p25,40.05,48.95164,0.22226322
21,10,p25,136.43721,119.43015,0.12465119
21,11,p25,157.062,141.17564,0.101146996
21,12,p25,96.67498,85.320854,0.11744636
21,13,p25,38.112995,45.526367,0.19451034
21,14,p25,88.47502,111.2366,0.25726557
21,15,p25,279.95007,203.78389,0.2720706
21,16,p25,36.413006,41.102962,0.12879896
21,17,p25,77.675,82.92108,0.06753886
21,18,p25,137.15,86.67812,0.36800492
21,19,p25,72.275,81.88893,0.13301873
21,20,p25,103.825,112.01887,0.07892001
21,21,p25,152.52501,117.7615,0.22792006
21,22,p25,73.962006,84.26826,0.13934517
21,23,p25,156.062,119.47083,0.23446554
21,24,p25,40.225002,48.783165,0.21275735
21,25,p25,60.863,78.66931,0.2925638
21,26,p25,130.44997,116.828575,0.104418516
21,27,p25,209.92496,166.73245,0.20575213
21,28,p25,113.65899,113.6433,0.00013798475
21,29,p25,78.187996,88.09372,0.1266911
21,30,p25,188.31296,164.68793,0.12545621
21,31,p25,40.638,45.57602,0.121512294
21,32,p25,134.24098,119.33504,0.111038685
21,33,p25,55.537006,53.418262,0.03815013
21,34,p25,60.77501,54.877052,0.09704578
21,35,p25,49.124992,48.76729,0.007281482
21,36,p25,110.94402,89.2237,0.1957773
21,37,p25,173.44702,164.73653,0.050219893
21,38,p25,69.14999,55.633278,0.19546944
21,39,p25,111.93699,111.93671,2.503395e-06
21,40,p25,49.55,47.37536,0.043887794
21,41,p25,101.27498,110.49628,0.091052055
21,42,p25,64.85,82.11805,0.26627684
21,43,p25,99.286995,116.431625,0.17267752
21,44,p25,43.087,48.96578,0.13643968
21,45,p25,44.188,48.15788,0.08984065
21,46,p25,96.21201,113.22265,0.17680371
21,47,p25,155.35005,119.65249,0.22978789
21,48,p25,40.425,45.530514,0.12629592
21,0,p50,102.786995,133.58037,0.2995844
21,1,p50,55.200005,63.369316,0.14799476
21,2,p50,166.95,142.3735,0.14720869
21,3,p50,134.25002,140.33133,0.045298457
21,4,p50,70.21301,101.48851,0.4454373
21,5,p50,121.062004,136.77837,0.12982082
21,6,p50,51.824997,59.55767,0.14920735
21,7,p50,46.487995,59.962627,0.2898519
21,8,p50,77.99999,63.8639,0.18123198
21,9,p50,48.487,63.53808,0.31041467
21,10,p50,157.49997,145.75699,0.074558616
21,11,p50,176.11197,176.04729,0.00036728382
21,12,p50,114.21198,106.47436,0.06774795
21,13,p50,46.74399,59.32558,0.26915944
21,14,p50,109.511986,136.48586,0.24630976
21,15,p50,315.43692,239.63864,0.24029613
21,16,p50,42.65001,54.220875,0.27129805
21,17,p50,94.725,105.72961,0.11617422
21,18,p50,167.40004,108.15101,0.3539368
21,19,p50,87.911995,104.48324,0.18849814
21,20,p50,128.84999,137.42271,0.06653261
21,21,p50,178.46198,148.04492,0.17043996
21,22,p50,87.469,105.14275,0.20205736
21,23,p50,179.32501,149.70001,0.16520286
21,24,p50,51.675,63.396637,0.22683382
21,25,p50,71.411995,99.19679,0.38907743
21,26,p50,150.463,146.82568,0.024174154
21,27,p50,244.09995,199.01144,0.1847133
21,28,p50,141.19402,139.35887,0.012997329
21,29,p50,89.861984,111.496254,0.24074996
21,30,p50,211.825,204.46425,0.03474921
21,31,p50,54.925003,59.583324,0.0848124
21,32,p50,156.07504,145.51164,0.06768155
21,33,p50,78.412,69.14952,0.1181258
21,34,p50,83.68699,70.838615,0.15352893
21,35,p50,60.788006,62.816944,0.03337729
